[18-Jan-2019 19:57:47 Asia/Tokyo] PHP Fatal error:  Declaration of App\Mail\Contact::send(App\Mail\Request $request) must be compatible with Illuminate\Contracts\Mail\Mailable::send(Illuminate\Contracts\Mail\Mailer $mailer) in /home/ubuntu/workspace/cms/app/Mail/Contact.php on line 13
[18-Jan-2019 19:58:02 Asia/Tokyo] PHP Fatal error:  Declaration of App\Mail\Contact::send(App\Mail\Request $request) must be compatible with Illuminate\Contracts\Mail\Mailable::send(Illuminate\Contracts\Mail\Mailer $mailer) in /home/ubuntu/workspace/cms/app/Mail/Contact.php on line 13
[10-Apr-2019 04:09:33 UTC] PHP Warning:  require(/home/ubuntu/workspace/cms/public/../cms/bootstrap/autoload.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/cms/public/index.php on line 23
[10-Apr-2019 04:09:33 UTC] PHP Fatal error:  require(): Failed opening required '/home/ubuntu/workspace/cms/public/../cms/bootstrap/autoload.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/cms/public/index.php on line 23
[29-May-2019 23:04:39 Asia/Tokyo] PHP Warning:  The use statement with non-compound name 'Auth' has no effect in /home/ubuntu/workspace/cms/routes/web.php on line 15
[29-May-2019 23:05:54 Asia/Tokyo] PHP Warning:  The use statement with non-compound name 'Auth' has no effect in /home/ubuntu/workspace/cms/routes/web.php on line 15
[29-May-2019 23:06:24 Asia/Tokyo] PHP Warning:  The use statement with non-compound name 'Auth' has no effect in /home/ubuntu/workspace/cms/routes/web.php on line 15
[29-May-2019 23:10:04 Asia/Tokyo] PHP Warning:  The use statement with non-compound name 'Auth' has no effect in /home/ubuntu/workspace/cms/routes/web.php on line 15
[29-May-2019 23:19:23 Asia/Tokyo] PHP Warning:  The use statement with non-compound name 'Auth' has no effect in /home/ubuntu/workspace/cms/routes/web.php on line 15
[01-Jun-2019 23:55:42 Asia/Tokyo] PHP Warning:  The use statement with non-compound name 'Auth' has no effect in /home/ubuntu/workspace/cms/routes/web.php on line 15
[03-Jun-2019 23:16:54 Asia/Tokyo] PHP Warning:  The use statement with non-compound name 'Auth' has no effect in /home/ubuntu/workspace/cms/routes/web.php on line 15
[12-Jun-2019 23:37:27 Asia/Tokyo] PHP Fatal error:  Cannot redeclare App\Http\Controllers\ChatController::sendMessage() in /home/ubuntu/workspace/cms/app/Http/Controllers/ChatController.php on line 52
[19-Jun-2019 10:37:14 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/home/ubuntu/workspace/ext/curl' - /home/ubuntu/workspace/ext/curl: cannot open shared object file: No such file or directory in Unknown on line 0
[19-Jun-2019 10:37:14 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/home/ubuntu/workspace/ext/gd2' - /home/ubuntu/workspace/ext/gd2: cannot open shared object file: No such file or directory in Unknown on line 0
[19-Jun-2019 10:37:14 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/home/ubuntu/workspace/ext/mbstring' - /home/ubuntu/workspace/ext/mbstring: cannot open shared object file: No such file or directory in Unknown on line 0
[19-Jun-2019 10:37:14 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/home/ubuntu/workspace/ext/pdo_mysql' - /home/ubuntu/workspace/ext/pdo_mysql: cannot open shared object file: No such file or directory in Unknown on line 0
[19-Jun-2019 10:37:14 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/home/ubuntu/workspace/ext/php_bz2' - /home/ubuntu/workspace/ext/php_bz2: cannot open shared object file: No such file or directory in Unknown on line 0
[19-Jun-2019 10:37:14 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/home/ubuntu/workspace/ext/php_openssl' - /home/ubuntu/workspace/ext/php_openssl: cannot open shared object file: No such file or directory in Unknown on line 0
[19-Jun-2019 10:37:14 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library '/home/ubuntu/workspace/ext/php_fileinfo' - /home/ubuntu/workspace/ext/php_fileinfo: cannot open shared object file: No such file or directory in Unknown on line 0
